cat,color,beg,end,des
j,#8e44ad,31-May-14,20-Aug-14,<h3>radisson community association</h3><h4>lifeguard</h4><h5>may.14-aug.14</h5><p>worked as a lifeguard</p><p>taught swim lessons</p><p class='placeLabel'>BALDWINSVILLE</p>
a,#c0392b,23-Aug-14,8-Dec-14,<h3>CS 1110</h3><h4>intro python</h4><h5>aug.14-dec.14</h5><p>introductory computer science course</p><p>first experience programming</p><p class='placeLabel'>CORNELL</p>
b,#bdc3c7,23-Aug-14,8-Dec-14,<h3>CHEM 2090</h3><h4>chemistry for engineers</h4><h5>aug.14-dec.14</h5><p>first year chemistry course</p><p>fulfilled engineering requirement</p><p class='placeLabel'>CORNELL</p>
c,#f1c40f,23-Aug-14,8-Dec-14,<h3>MATH 1920</h3><h4>multivariable calc</h4><h5>aug.14-dec.14</h5><p>built foundation for math used in engineering</p><p>very useful in future courses</p><p class='placeLabel'>CORNELL</p>
d,#e67e22,23-Aug-14,8-Dec-14,<h3>ENGL 1167</h3><h4>great new books</h4><h5>aug.14-dec.14</h5><p>thought provoking course</p><p>fulfilled writing requirement 1/2</p><p class='placeLabel'>CORNELL</p>
a,#bdc3c7,25-Jan-15,5-May-15,<h3>PHYS 2213</h3><h4>electricity and magnetism</h4><h5>jan.15-may.15</h5><p>my favorite physics class</p><p>very fun and interesting material</p><p class='placeLabel'>CORNELL</p>
b,#e67e22,25-Jan-15,5-May-15,<h3>NES 1996</h3><h4>early islamic history in muslim literature</h4><h5>jan.15-may.15</h5><p>studied origins of muslim literature</p><p>fulfilled writing requirement 2/2</p><p class='placeLabel'>CORNELL</p>
c,#f1c40f,25-Jan-15,5-May-15,<h3>MATH 2930</h3><h4>differential equations</h4><h5>jan.15-may.15</h5><p>class was really hard</p><p>but it helps a lot now</p><p class='placeLabel'>CORNELL</p>
d,#c0392b,25-Jan-15,5-May-15,<h3>ENGRI 1270</h3><h4>intro to entreprenuership</h4><h5>jan.15-may.15</h5><p>learned a lot about businesses and startups</p><p>taught by one of my favorite professors</p><p class='placeLabel'>CORNELL</p>
e,#e67e22,25-Jan-15,5-May-15,<h3>ECON 1110</h3><h4>intro microeconomics</h4><h5>jan.15-may.15</h5><p>when I thought I wanted a business minor</p><p>would have liked it more if there was actual math</p><p class='placeLabel'>CORNELL</p>
h,#8e44ad,31-May-15,15-Aug-15,<h3>startfast</h3><h4>summer tech intern</h4><h5>may.15-aug.15</h5><p>worked for startups in the venture accelerator</p><p>ios and android development</p><p class='placeLabel'>SYRACUSE</p>
j,#8e44ad,31-May-15,15-Aug-15,<h3>radisson community association</h3><h4>lifeguard</h4><h5>may.15-aug.15</h5><p>worked as a lifeguard</p><p>taught swim lessons</p><p class='placeLabel'>BALDWINSVILLE</p>
a,#3498db,23-Aug-15,8-Dec-15,<h3>CS 2110</h3><h4>object oriented programming and data structures</h4><h5>aug.15-dec.15</h5><p>classic computer science course</p><p>really loved the projects</p><p class='placeLabel'>CORNELL</p>
b,#2ecc71,23-Aug-15,8-Dec-15,<h3>ECE 2300</h3><h4>digital logic and computer organization</h4><h5>aug.15-dec.15</h5><p>first computer engineering class</p><p>lots of cool FPGA projects</p><p class='placeLabel'>CORNELL</p>
c,#bdc3c7,23-Aug-15,8-Dec-15,<h3>PHYS 2214</h3><h4>waves and optics</h4><h5>aug.15-dec.15</h5><p>last required physics course</p><p>useful for future ece courses</p><p class='placeLabel'>CORNELL</p>
d,#e67e22,23-Aug-15,8-Dec-15,<h3>CS 2850</h3><h4>networks</h4><h5>aug.15-dec.15</h5><p>changed the way I think about the world</p><p>one of my favorite classes so far</p><p class='placeLabel'>CORNELL</p>
e,#f1c40f,23-Aug-15,8-Dec-15,<h3>MATH 2940</h3><h4>linear algebra</h4><h5>aug.15-dec.15</h5><p>last required math course</p><p>very useful in computer math</p><p class='placeLabel'>CORNELL</p>
i,#8e44ad,23-Dec-15,20-Aug-16,<h3>belle apps</h3><h4>mobile dev</h4><h5>dec.15-present</h5><p>mobile development contractor</p><p>built ios and android applications for clients</p><p class='placeLabel'>REMOTE</p>
a,#3498db,25-Jan-16,6-May-16,<h3>CS 3300</h3><h4>data driven web-apps</h4><h5>jan.16-may.16</h5><p>learned all about data visualization and d3</p><p>opened my eyes to the world of data vis and design</p><p class='placeLabel'>CORNELL</p>
b,#2ecc71,25-Jan-16,6-May-16,<h3>ECE 2100</h3><h4>circuits</h4><h5>jan.16-may.16</h5><p>circuit analysis course</p><p>became more familar with hands on circuit work</p><p class='placeLabel'>CORNELL</p>
c,#2ecc71,25-Jan-16,6-May-16,<h3>ECE 2200</h3><h4>signals</h4><h5>jan.16-may.16</h5><p>learned about signals and information</p><p>class made me a lot better at matlab</p><p class='placeLabel'>CORNELL</p>
d,#2ecc71,25-Jan-16,6-May-16,"<h3>ECE 3140</h3><h4>embedded systems</h4><h5>jan.16-may.16</h5><p>embedded programming in c</p><p>concurrency, scheduling, pointers, assembly</p><p class='placeLabel'>CORNELL</p>"
e,#3498db,25-Jan-16,6-May-16,<h3>CS 4852</h3><h4>networks II</h4><h5>jan.16-may.16</h5><p>liked networks I so much I took networks II</p><p>class was a lot more formal and theory based</p><p class='placeLabel'>CORNELL</p>
g,#8e44ad,31-May-16,20-Aug-16,<h3>src</h3><h4>software engineering intern</h4><h5>may.16-present</h5><p>building situational awareness tool for electronic warfare</p><p>learning about working in a corporate environment</p><p class='placeLabel'>SYRACUSE</p>
a,#2ecc71,25-Aug-16,6-Dec-16,<h3>ECE 3030</h3><h4>electromagnetic fields and waves</h4><h5>aug.16-dec.16</h5><p>should be hard</p><p>but fun</p><p class='placeLabel'>CORNELL</p>
b,#2ecc71,25-Aug-16,6-Dec-16,<h3>ECE 3400</h3><h4>ece practice and design</h4><h5>aug.16-dec.16</h5><p>will be building robots</p><p>its going to be cool</p><p class='placeLabel'>CORNELL</p>
c,#3498db,25-Aug-16,6-Dec-16,<h3>CS 3110</h3><h4>functional programming</h4><h5>aug.16-dec.16</h5><p>use ocaml to learn a lot</p><p>pushing my computer science knowledge</p><p class='placeLabel'>CORNELL</p>
d,#3498db,25-Aug-16,6-Dec-16,<h3>CS 2800</h3><h4>discrete structures</h4><h5>aug.16-dec.16</h5><p>where math gets really hard</p><p>proving cool things</p><p class='placeLabel'>CORNELL</p>
e,#2ecc71,25-Aug-16,6-Dec-16,<h3>ECE 3250</h3><h4>mathematics of signal and system analysis</h4><h5>aug.16-dec.16</h5><p>applying mathematic fundamentals to engineering</p><p>deepening understanding of signals and systems</p><p class='placeLabel'>CORNELL</p>
